,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
122,Ada,16001010409,0.3187,0.1648,0.1802,0.0989,0.3604,59.39307275474292,,33.33000000000004,32.43756895709629,,2167.0
123,Ada,16001010410,0.4,0.2374,0.1033,0.4352,0.3626,50.15646936008318,,32.97000000000003,32.65246466356327,,2547.0
124,Ada,16001010411,0.3692,0.022,0.0791,0.1011,0.0264,62.63044200731159,,36.31,33.16619501728458,,2375.0
125,Ada,16001010501,0.7253,0.2593,0.3802,0.0901,0.3033,13.70955954528922,,41.07000000000005,37.340355894229525,237.39257140423922,5112.0
126,Ada,16001010503,0.8791,0.3648,0.589,0.422,0.0879,1.174998407798678,,49.55000000000001,37.813715694925776,,2713.0
127,Ada,16001010505,0.8088,0.1714,0.2571,0.022,0.3231,43.61115656435791,,33.53000000000003,33.15383984952306,,1164.0
128,Ada,16001010506,0.6791,0.0835,0.0901,0.1385,0.1209,49.77591599903715,,34.71000000000004,33.341479084362994,,2881.0
129,Adams,16003950100,0.1407,0.2022,0.2659,0.1143,0.4308,94.96266334387144,,31.370000000000005,22.40753026045669,333.53675277479635,1332.0
130,Adams,16003950200,0.2857,0.7011,0.7165,0.4154,0.7934,68.34219423865238,,45.690000000000055,28.85215613834461,260.54492689384085,1714.0
131,Bannock,16005000200,0.0615,0.2484,0.2923,0.4659,0.2462,80.75726931754794,,45.410000000000025,31.036991325634432,110.12023716581005,2940.0
132,Bannock,16005000301,0.8703,0.9011,0.978,0.6044,0.6857,42.06470264044571,,33.670000000000016,31.77080854379613,,3070.0
133,Bannock,16005000302,0.3868,0.3407,0.4286,0.1363,0.4879,70.65136433645232,,34.21000000000004,31.17392487665129,,4177.0
134,Bannock,16005000400,0.4505,0.1319,0.1473,0.3407,0.1077,75.3385230433056,,32.910000000000025,30.285439517730985,123.09535223245615,4302.0
135,Bannock,16005000500,0.3187,0.3473,0.1604,0.6571,0.4462,90.86628970009916,,32.670000000000016,29.31824104952106,123.13204036963216,1492.0
136,Bannock,16005000600,0.7165,0.9231,0.9802,0.5758,0.8044,21.060266896638936,,45.410000000000025,36.45135324706068,102.46325922353724,2840.0
137,Bannock,16005000700,0.6615,0.7824,0.8242,0.3385,0.844,44.77597342800348,,37.35000000000002,34.85339231346246,102.19291859865194,3446.0
138,Bannock,16005000800,0.8154,0.9187,0.9275,0.3692,0.9714,20.422026414392978,,36.39000000000004,34.994768620537684,102.19673312711221,2204.0
139,Bannock,16005000900,0.6703,0.8769,0.778,0.567,0.9451,51.99498024402973,,34.950000000000045,34.79051032806808,102.19291859865194,1720.0
140,Bannock,16005001000,0.5648,0.7209,0.7033,0.5802,0.7275,52.11517198049849,,34.83000000000004,34.46558366877519,102.19291859865194,2512.0
141,Bannock,16005001102,0.5429,0.3582,0.4637,0.6681,0.1341,39.12999392082359,,35.75000000000006,34.25602123058782,102.19291859865194,2930.0
