,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Smoke,LST-Max,LST-Mean,Popultatuion
232,Minidoka,16067980300,0.659,0.62,0.476,0.3154,0.9784,28.876973256651883,,56.27000000000004,40.777136383175055,2517.0
233,Minidoka,16067980400,0.964,0.6917,0.878,0.9892,0.9605,88.14503810984168,,35.57000000000005,31.80431372549017,3719.0
234,Minidoka,16067980500,0.989,0.9211,0.924,0.9175,0.9569,87.41824892786644,,37.97000000000003,32.000020922999425,3614.0
235,Nez Perce,16069990600,0.652,0.7849,0.358,0.9247,0.3046,30.3993669310514,,46.870000000000005,44.03875064267353,4164.0
236,Nez Perce,16069990700,0.354,0.8458,0.157,0.3476,0.2508,50.45965875657244,,51.950000000000045,40.35170460676535,4429.0
237,Nez Perce,16069990800,0.078,0.0645,0.218,0.2508,0.1827,42.53903829675547,,51.59000000000003,46.34329742747676,3075.0
238,Nez Perce,16069990900,0.465,0.6774,0.34,0.8924,0.0035,67.78991556631699,,45.47000000000003,43.60831172572748,2475.0
239,Nez Perce,16069991000,0.043,0.0752,0.193,0.1971,0.1218,43.97492823482567,,49.71000000000004,45.12875198318258,4402.0
240,Nez Perce,16069990100,0.752,0.3655,0.838,0.8602,0.6164,77.01102365382317,,51.89000000000004,40.2360941462436,3786.0
241,Nez Perce,16069990200,0.103,0.0394,0.329,0.3082,0.0967,87.8515514862544,,45.03000000000003,39.2432168668296,285.0
242,Nez Perce,16069990300,0.856,0.7741,0.86,0.7885,0.5412,45.8570924314091,,54.77000000000004,40.894864239927,4128.0
243,Nez Perce,16069990400,0.308,0.4767,0.301,0.5842,0.1577,45.73105769485597,,45.150000000000034,42.2168052556906,2811.0
244,Nez Perce,16069990500,0.297,0.6272,0.161,0.4838,0.215,44.464899555331385,,45.21000000000004,43.353071557332136,2974.0
245,Oneida,16071960100,0.444,0.3727,0.641,0.663,0.1899,35.95238477156547,,50.63000000000005,41.50804437547311,3494.0
246,Owyhee,16073940300,0.612,0.2437,0.996,0.5555,0.5053,21.194294943563936,,48.410000000000025,38.31507872601208,289.0
247,Owyhee,16073950101,0.985,0.8602,0.874,0.9749,0.982,75.38476741545179,,45.13000000000005,35.79290399374704,3304.0
248,Owyhee,16073950102,0.924,0.7311,0.867,0.7025,0.9677,62.7755646815622,,45.59000000000003,36.50441242155659,2671.0
249,Owyhee,16073950200,0.713,0.5448,0.724,0.4336,0.8673,6.693829304251888,,55.09000000000003,39.16446340856811,2813.0
250,Payette,16075980100,0.706,0.8136,0.365,0.6093,0.7777,10.255482507067288,,47.97000000000003,42.99056447880263,4998.0
251,Payette,16075980200,0.906,0.8351,0.695,0.9677,0.6881,78.57186801944718,,41.63000000000005,36.05943853188108,2578.0
252,Payette,16075980300,0.698,0.4551,0.322,0.9569,0.8243,47.42590008490181,,51.110000000000014,40.63552745259376,6174.0
253,Payette,16075980400,0.788,0.5519,0.885,0.6881,0.6487,50.014066553323325,,50.93000000000001,39.79930713968693,3732.0
254,Power,16077980100,0.508,0.387,0.706,0.2759,0.6415,35.47828443675417,,47.35000000000002,37.11446732758761,1339.0
255,Power,16077980200,0.935,0.9068,0.63,0.8566,0.9498,23.80917458879135,,54.21000000000004,38.65590453297074,5080.0
256,Shoshone,16079960200,0.473,0.5985,0.591,0.681,0.0645,99.08394731421862,,33.59000000000003,22.72399702615596,3886.0
257,Shoshone,16079960300,0.767,0.8494,0.684,0.9784,0.2222,93.60170369699344,,35.450000000000045,25.29017255076661,3602.0
258,Shoshone,16079960400,0.641,0.6594,0.548,0.8745,0.2688,95.83813355266166,,29.950000000000045,22.22421937181355,4384.0
259,Teton,16081960100,0.362,0.5053,0.2,0.1863,0.7562,92.64139814388412,,43.25000000000006,26.683563661491814,5177.0
260,Twin Falls,16083980100,0.39,0.4157,0.369,0.0394,0.8853,15.555357744322269,,50.53000000000003,39.40660209324905,258.0
261,Twin Falls,16083980200,0.526,0.258,0.473,0.5591,0.7562,15.700946293170588,,53.27000000000004,40.40782523726357,1681.0
262,Twin Falls,16083980300,0.412,0.2616,0.211,0.5304,0.7526,81.59153809411211,,50.53000000000003,33.51477144495971,3816.0
263,Twin Falls,16083980400,0.931,0.7885,0.627,0.9964,0.8781,80.23731099952944,,37.51000000000005,31.66916236608591,3134.0
264,Twin Falls,16083980500,0.397,0.2795,0.293,0.6021,0.5412,90.69526666770604,,38.03000000000003,30.367608914616707,4109.0
265,Twin Falls,16083980600,0.172,0.1469,0.204,0.2437,0.5268,76.08906340236452,,40.05000000000001,32.30878524300559,2259.0
266,Twin Falls,16083980700,0.605,0.6738,0.283,0.8351,0.4731,81.19073585010544,,39.35000000000002,30.28069054927297,7624.0
267,Twin Falls,16083980800,0.903,0.6989,0.856,0.9534,0.6738,70.49204681713532,,37.650000000000034,34.84576545857208,4439.0
268,Twin Falls,16083980900,0.387,0.5376,0.043,0.7598,0.3584,72.90797396179384,,42.190000000000055,30.98121810034812,7697.0
269,Twin Falls,16083981000,0.637,0.4516,0.602,0.7849,0.4982,50.16491631606149,,37.650000000000034,35.142210522645655,6110.0
270,Twin Falls,16083981100,0.91,0.9462,0.892,0.6344,0.7419,31.042784951754964,,37.690000000000055,37.379637594583855,2652.0
